topic,question,option_a,option_b,option_c,option_d,correct_answer
Geography,"What can be the impact of excessive/inappropriate use of nitrogenous fertilizers
in agriculture?
1. Proliferation of nitrogen-fixing microorganisms in soil can occur.
2. Increase in the acidity of soil can take place.
3. Leaching of nitrate to the groundwater can occur.
Select the correct answer using the codes given below.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",c
Geography,What explains the eastward flow of the equatorial counter-current ?,The Earth's rotation on its axis,Convergence of the two equatorial currents,Di�erence in salinity of water,"Occurrence of the belt of calm near the equator
Correct answer: option b
Q5. Consider the following pairs:
S.No Place of Pilgrimage Location
1. Srisailam Nallamala hills
2. Omkareshwar Satmala hills
3. Pushkar Mahadev hills
Which of the above pairs is/are correctly matched ?",b
Geography,"Which one of the following best describes the main objective of 'Seed Village
Concept'?","Encouraging the farmers to use their own farm seeds and discouraging them to
buy the seeds from others","Involving the farmers for training in quality seed production and thereby to make
available quality seeds to others at appropriate time and a�ordable cost",Earmarking some villages exclusively for the production of certified seeds,"Identifying the entrepreneurs in villages and providing them technology and
finance to set up seed companies",b
Geography,"With reference to the Indian Renewable Energy Development Agency Limited
IRED",", which of the following statements is/are correct?
1. It is a Public Limited Government Company.
2. It is a Non-Banking Financial Company.
Select the correct answer using the code given below.",1 only,2 only,Both 1 and 2,c
Geography,"What are the significance of a practical approach to sugarcane production
known as the 'Sustainable Sugarcane Initiative'?
1. Seed cost is very low in this compared to the conventional method of cultivation.
2. Drip irrigation can be practiced very e�ectively in this.
3. There is no application of chemical/inorganic fertilizers at all in this.
4. The scope for intercropping is more in this compared to the conventional method
of cultivation.
Select the correct answer using the code given below:",1 and 3 only,"1, 2 and 4 only","2, 3 and 4 only","1, 2, 3 and 4
Correct answer: option b
Q2. Which one of the following pairs of islands is separated from each other by the
'Ten Degree Channel'?",c
Modern History,"Who among the following rulers of medieval Gujarat surrendered Diu to
Portuguese?",Ahmad Shah,Mahmud Begarha,Bahadur Shah,Muhammad Shah,c
Modern History,"With reference to the Indian History, Alexander Rea, A. H. Longhurst, Robert
Sewell, James Burgess and Walter Elliot were associated with",archaeological excavations,establishment of English Press in Colonial India,establishment of Churches in Princely States,construction of railways in Colonial India,a
Modern History,"By which one of the following Acts was the Governor General of Bengal
designated as the Governor General of India?",The Regulating Act,The Pitt's India Act,The Charter Act of 1793,The Charter Act of 1833,d
Modern History,"Consider the following statements :
Statement-I : 7th August is declared as the National Handloom Day.
Statement-II : It was in 1905 that the Swadeshi Movement was launched on the same
day.
Which one of the following is correct in respect of the above statements?","Both Statement-I and Statement-II are correct and Statement-II is the correct
explanation for Statement-I.","Both Statement-I and Statement-II are correct and Statement-II is not the correct
explanation for Statement-I.",Statement-I is correct but Statement-II is incorrect.,Statement-I is incorrect but Statement-II is correct.,a
Modern History,"In the Government of India Act 1919, the functions of Provincial Government were
divided into ""Reserved"" and ""Transferred"" subjects. Which of the following were
treated as ""Reserved"" subjects?
1. Administration of Justice
2. Local Self-Government
3. Land Revenue
4. Police
Select the correct answer using the code given below:","1, 2 and 3","2, 3 and 4","1, 3 and 4","1, 2 and 4
C orrect answer: c
Q2. Consider the following freedom fighters:
1. Barindra Kumar Ghosh
2. Jogesh Chandra Chatterjee
3. Rash Behari Bose
Who of the above was/were actively associated with the Ghadar Party?",d
Modern History,"With reference to the proposals of Cripps Mission, consider the following
statements:
1. The Constituent Assembly would have members nominated by the Provincial
Assemblies as well as the Princely States.
2. Any Province, which is not prepared to accept the new Constitution would have the
right to sign a separate agreement with Britain regarding its future status.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Modern History,"With reference to Indian history, consider the following statements:
1. The Dutch established their factories/warehouses on the east coast on lands
granted to them by Gajapati rulers.
2. Alfonso de Albuquerque captured Goa from the Bijapur Sultanate.
3. The English East India Company established a factory at Madras on a plot of land
leased from a representative of the Vijayanagara empire.
Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Modern History,"Consider the following statements:
1. The Montagu-Chelmsford Reforms of 1919 recommended granting voting
rights to all the women above the age of 21.
2. The Government of India Act of 1935 gave women reserved seats in the
legislature.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Modern History,"With reference to 8th August, 1942 in Indian history, which one of the following
statements is correct?",The Quit India Resolution was adopted by the AICC.,The Viceroy’s Executive Council was expanded to include more Indians.,The Congress ministries resigned in seven provinces.,"Cripps proposed an Indian Union with full Dominion Status once the Second World
War was over.",a
Modern History,"Who among the following is associated with ‘Songs from Prison’, a translation of
ancient Indian religious lyrics in English?",Bal Gangadhar Tilak,Jawaharlal Nehru,Mohandas Karamchand Gandhi,Sarojini Naidu,c
Modern History,"Who among the following was associated as Secretary with Hindu Female School
which later came to be known as Bethune Female School?",Annie Besant,Debendranath Tagore,Ishwar Chandra Vidyasagar,Sarojini Naidu,c
Modern History,"In the context of Colonial India, Shah Nawaz Khan, Prem Kumar Sehgal and
Gurbaksh Singh Dhillon are remembered as",leaders of Swadeshi and Boycott Movement,members of the Interim Government in 1946,members of the Drafting Committee in the Constituent Assembly,o�cers of the Indian National Army,d
Modern History,"With reference to Indian history, which of the following statements is/are correct?
1. The Nizamat of Arcot emerged out of Hyderabad State.
2. The Mysore Kingdom emerged out of Vijayanagara Empire.
3. Rohilkhand Kingdom was formed out of the territories occupied by Ahmad
Shah Durrani.
Select the correct answer using the code given below:",1 and 2,2 only,2 and 3,3 only,b
